,NUM-OPER,GEOM,FUNC,PROBAB,EXPON,PREG,FEED,ESTUD,ADMIN,NUM,SISTEMA
0,"('numer', 0.00627046651761379)","('a', 0.04287586746964093)","('com', 0.01463486233047814)","('frecuenci', 0.009033844036191438)","('se', 0.022961050582496218)","('com', 0.01463486233047814)","('que', 0.09199948024144784)","('usted', 0.006478208283846412)","('asi', 0.003969977164781791)","('dos', 0.0058815412907383385)","('youtub', 0.0010430024148018145)"
1,"('sum', 0.00547163008092744)","('angul', 0.004081644903169107)","('variabl', 0.006319145346195003)","('grafic', 0.006183284714264624)","('si', 0.020838419614712802)","('cuant', 0.010177501646760442)","('pued', 0.00628120932412543)","('compa単er', 0.0018040423211772767)","('prim', 0.0038540188829950706)","('2', 0.005031912671233142)","('discovery', 0.0006634621695268022)"
2,"('porcentaj', 0.005300196495134515)","('pitagor', 0.0032941894702567015)","('divid', 0.002723450362051312)","('dat', 0.005950537812041576)","('por', 0.01879942344791813)","('cual', 0.00924947088036876)","('bien', 0.006051993530439665)","('ni単', 0.00171490576676809)","('dia', 0.0033240604820934942)","('4', 0.0036278673110019654)","('pantall', 0.0005873382861061575)"
3,"('valor', 0.004083053172709267)","('med', 0.0029661244643582837)","('mayor', 0.002455463643340575)","('tabl', 0.004998181077780605)","('ciert', 0.011948783713272298)","('pregunt', 0.007850069772481509)","('sum', 0.00547163008092744)","('martin', 0.0013152605410982272)","('septim', 0.0031193364766353856)","('tres', 0.00346560815710008)","('comput', 0.0005854014055874971)"
4,"('divid', 0.002723450362051312)","('metr', 0.0024917390455196815)","('posicion', 0.002326334156739154)","('rang', 0.004241420019309272)","('mas', 0.011600386985184114)","('dond', 0.004001051019953894)","('sab', 0.004609984265073731)","('chic', 0.001073111910282709)","('segund', 0.002771513276105152)","('7', 0.0030875549983777504)","('equip', 0.0005167268746680855)"
5,"('cantid', 0.0021962330383130508)","('hipotenus', 0.0022734256125914692)","('x', 0.0020374839082213216)","('acumul', 0.0037248901829097713)","('entonc', 0.011064888949318967)","('quien', 0.0013977581328662168)","('primer', 0.004224397188471231)","('vay', 0.000970382381978622)","('tiemp', 0.0027302774647436695)","('17', 0.0028559935059745164)","('internet', 0)"
6,"('*', 0.0019915873349962542)","('grad', 0.0022341334996766383)","('absolut', 0.0020050801535087754)","('encuest', 0.0036220725364195902)","('aqu', 0.010299405008903816)",,"('recuerd', 0.0038183434402017245)","('profesor', 0.0009444703031805235)","('despues', 0.00256146646840369)","('14', 0.0028044710398481155)","('interact', 0)"
7,"('multiplic', 0.0013378940217780137)","('cuadr', 0.002141092037456215)","('menor', 0.00200150055391578)","('clas', 0.003386069384474929)","('este', 0.010179446676481255)",,"('dij', 0.0036469151413132997)","('luis', 0.0007481837971550572)","('ma単an', 0.0023985548054314483)","('9', 0.002736002830960016)","('usuari', 0)"
8,"('vec', 0.0012044165945607564)","('triangul', 0.0018381934097307755)","('raiz', 0.0014437641724573506)","('med', 0.0029661244643582837)","('cuant', 0.010177501646760442)",,"('observ', 0.002718928066477078)","('chiquill', 0.0005811370470527916)","('favor', 0.002240127029011815)","('3', 0.0024375951188629597)","('contrase単', 0)"
9,"('matemat', 0.0006623117649057218)","('lad', 0.0017041107810913888)","('/', 0.0013186759888964392)","('relat', 0.0029489659126004306)","('voy', 0.00964916341235384)",,"('buen', 0.002667367875813677)","('tio', 0)","('octav', 0.002225287025914272)","('90', 0.0023196403403043446)","('panel', 0)"
